,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Saint-Joseph,-21.3667,55.6167,68.38,79,21,14.47,RE,light rain
80,Huaihua,27.5494,109.9592,74.26,85,10,3.8,CN,light rain
81,Arman,59.7,150.1667,34.03,66,2,8.05,RU,clear sky
82,Kapaa,22.0752,-159.319,81.12,75,75,3.0,US,light rain
83,Buta,2.7858,24.73,69.85,96,100,2.28,CD,overcast clouds
84,Sabang,5.8933,95.3214,81.99,76,100,15.84,ID,light rain
85,Noyabrsk,63.1994,75.4507,46.92,93,100,7.54,RU,light rain
86,Sao Filipe,14.8961,-24.4956,80.13,76,100,5.41,CV,overcast clouds
87,Porto De Moz,-1.7483,-52.2383,88.36,49,100,3.74,BR,overcast clouds
88,Port Elizabeth,-33.918,25.5701,61.09,94,75,13.8,ZA,broken clouds
89,Olafsvik,64.8945,-23.7142,45.45,62,39,12.57,IS,scattered clouds
90,Hamza,40.4264,71.4956,73.35,25,94,6.58,UZ,overcast clouds
91,Portland,45.5234,-122.6762,75.29,53,40,1.99,US,scattered clouds
92,Yellowknife,62.456,-114.3525,48.72,71,90,14.97,CA,overcast clouds
93,East London,-33.0153,27.9116,80.08,44,6,9.08,ZA,clear sky
94,Gravdal,68.1214,13.5031,47.71,70,81,7.45,NO,broken clouds
95,Kununurra,-15.7667,128.7333,64.38,77,5,0.0,AU,clear sky
96,Cabinda,-5.55,12.2,75.11,88,99,7.52,AO,overcast clouds
97,Lerwick,60.1545,-1.1494,51.8,77,100,20.6,GB,overcast clouds
98,Port-Gentil,-0.7193,8.7815,75.16,88,40,5.75,GA,moderate rain
99,Katobu,-4.9408,122.5276,73.85,96,96,4.21,ID,overcast clouds
100,Morbegno,46.1383,9.57,74.68,79,28,3.62,IT,light rain
101,Mataura,-46.1927,168.8643,50.49,87,100,5.12,NZ,light rain
102,Upernavik,72.7868,-56.1549,26.01,49,0,7.43,GL,clear sky
103,Zatyshshya,47.3335,29.8733,66.34,49,56,7.2,UA,broken clouds
104,Lexington,37.9887,-84.4777,80.58,51,75,1.99,US,broken clouds
105,Lata,40.1629,-8.3327,73.04,77,66,2.95,PT,broken clouds
106,Kapit,2.0167,112.9333,73.56,98,100,1.34,MY,overcast clouds
107,Ribeira Grande,38.5167,-28.7,72.0,68,20,12.66,PT,few clouds
108,Victoria,22.2855,114.1577,86.97,88,12,1.01,HK,light rain
109,Garissa,-0.4536,39.6401,76.93,63,70,24.72,KE,broken clouds
110,Bati,11.1833,40.0167,70.36,58,100,6.73,ET,light rain
111,Ariogala,55.2667,23.4667,64.98,69,69,8.43,LT,broken clouds
112,Guisijan,11.0932,122.0461,79.93,75,100,3.18,PH,moderate rain
113,Grindavik,63.8424,-22.4338,51.75,81,40,6.91,IS,scattered clouds
114,Port Augusta,-32.5,137.7667,53.71,86,6,8.12,AU,clear sky
115,Kruisfontein,-34.0033,24.7314,62.47,78,100,5.17,ZA,overcast clouds
116,Hirara,24.8,125.2833,83.32,85,100,34.14,JP,moderate rain
117,Kasama,-10.2129,31.1808,65.82,45,20,9.26,ZM,few clouds
118,Qujing,25.4833,103.7833,60.6,81,27,3.69,CN,scattered clouds
119,Hithadhoo,-0.6,73.0833,82.98,69,100,6.64,MV,overcast clouds
120,Chokurdakh,70.6333,147.9167,35.76,67,100,13.04,RU,overcast clouds
121,Saint-Pierre,-21.3393,55.4781,69.48,77,75,14.97,RE,broken clouds
122,Thompson,55.7435,-97.8558,51.96,62,90,18.41,CA,overcast clouds
123,Mgandu,-5.95,34.1333,68.14,41,11,10.92,TZ,few clouds
124,Haines Junction,60.7522,-137.5108,44.55,81,100,1.14,CA,overcast clouds
125,Beringovskiy,63.05,179.3167,36.73,98,100,23.42,RU,moderate rain
126,Coahuayana,18.7333,-103.6833,96.28,59,32,5.12,MX,scattered clouds
127,Tiksi,71.6872,128.8694,44.1,56,37,9.13,RU,scattered clouds
128,Nenjiang,49.1833,125.2167,44.58,95,0,4.85,CN,clear sky
129,Caohe,30.2297,115.4335,74.64,80,0,3.49,CN,light rain
130,San Pedro,14.35,121.0167,78.03,92,75,3.44,PH,broken clouds
131,Kutum,14.2,24.6667,80.01,55,7,0.43,SD,clear sky
132,Andenes,69.3143,16.1194,44.47,75,100,8.05,NO,overcast clouds
133,Rio Cuarto,-33.1307,-64.3499,76.77,27,93,33.38,AR,overcast clouds
134,Pevek,69.7008,170.3133,29.23,79,100,14.2,RU,overcast clouds
135,San,13.3034,-4.8956,84.36,55,39,5.41,ML,scattered clouds
136,Mar Del Plata,-38.0023,-57.5575,55.42,94,90,11.5,AR,overcast clouds
137,Cabo San Lucas,22.8909,-109.9124,90.7,68,20,1.99,MX,few clouds
138,Kavieng,-2.5744,150.7967,81.52,75,80,6.42,PG,broken clouds
139,Shellbrook,53.2168,-106.4011,61.83,41,59,1.59,CA,broken clouds
140,Yumen,40.2833,97.2,63.91,34,100,12.03,CN,overcast clouds
141,Damaturu,11.747,11.9608,84.27,63,92,7.07,NG,overcast clouds
142,Okha,53.5739,142.9478,49.15,70,100,7.25,RU,overcast clouds
143,Nyurba,63.2842,118.3319,49.33,80,96,4.34,RU,overcast clouds
144,Vysokogornyy,50.1167,139.15,47.03,98,100,3.36,RU,overcast clouds
145,Oudtshoorn,-33.5907,22.2014,52.16,73,41,4.5,ZA,scattered clouds
146,Inuvik,68.3499,-133.7218,49.06,76,90,6.91,CA,overcast clouds
147,Hofn,64.2539,-15.2082,53.92,71,20,5.26,IS,few clouds
148,Dikson,73.5069,80.5464,41.43,88,100,10.94,RU,overcast clouds
