City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
312,Ewo,CG,75.85,-0.8725,14.8206,Residence Elonda Ewo
314,Morgan City,US,76.39,29.6994,-91.2068,Hampton Inn & Suites Morgan City
315,Fortuna,US,81.19,40.5982,-124.1573,Super 8 by Wyndham Fortuna
317,Omboue,GA,75.51,-1.5746,9.2618,Hotel Olako
318,Kanniyakumari,IN,78.62,8.0833,77.5667,Sparsa
320,Samarai,PG,78.84,-10.6167,150.6667,Nuli Sapi
322,Ponta Do Sol,PT,75.83,32.6667,-17.1,Hotel do Campo
325,Wanning,CN,80.02,18.8003,110.3967,Paradise Hotel
326,Lodwar,KE,77.95,3.1191,35.5973,Solmar Gracious Hotel
331,Manono,CD,78.48,-7.3,27.4167,Hotel hewa bora
334,Honolulu,US,84.56,21.3069,-157.8583,Aston at the Executive Centre Hotel
335,Victoria,HK,86.32,22.2855,114.1577,Mini Hotel Central
341,Katsuura,JP,75.31,35.1333,140.3,Katsuura Hotel Mikazuki
346,Bismarck,US,88.88,46.8083,-100.7837,Ramkota Hotel & Conference Center
349,Trenggalek,ID,75.49,-8.05,111.7167,OYO 2966 Hotel Atriaz
350,Namatanai,PG,84.16,-3.6667,152.4333,Seagulls Inn Namatani
354,Spearfish,US,86.09,44.4908,-103.8594,Travelodge by Wyndham Spearfish
355,Pochutla,MX,78.82,15.7432,-96.4661,Hotel Posada San Jose
356,Pemangkat,ID,78.84,1.1667,108.9667,Ramah Kost KITA
358,Karratha,AU,76.75,-20.7377,116.8463,ibis Styles Karratha
364,Faanui,PF,77.86,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
366,Nhulunbuy,AU,81.21,-12.2333,136.7667,East Arnhem Real Estate
369,Pasuruan,ID,76.89,-7.6453,112.9075,Pasuruan Hotel
371,Benghazi,LY,76.55,32.1167,20.0667,Tibesti Hotel
372,Robertsport,LR,78.15,6.7533,-11.3686,Kwepunha Retreat
374,Castanas,PH,80.1,13.8822,121.5517,Oyayi Farm & Resort
378,Saint-Georges,GD,83.88,12.0564,-61.7485,Radisson Grenada Beach Resort
385,Finschhafen,PG,80.71,-6.6024,147.8681,Cossam Guest House
387,Pacific Grove,US,88.14,36.6177,-121.9166,Lovers Point Inn
391,Vaitape,PF,77.86,-16.5167,-151.75,Conrad Bora Bora Nui
398,San Ignacio,BZ,82.54,17.1561,-89.0714,Rainforest Haven Inn
404,Sur,OM,88.38,22.5667,59.5289,Sur Plaza Hotel
407,Kavieng,PG,84.67,-2.5744,150.7967,Nusa Island Retreat
410,Santa Vitoria,BR,84.96,-18.8386,-50.1214,Center Hotel
418,Port Keats,AU,82.58,-14.25,129.55,TDC Village (Hundred Man Camp)
419,Oussouye,SN,82.58,12.485,-16.5469,Auberge du Routard
420,Tabou,CI,76.8,4.423,-7.3528,hotêl doufoulougou
423,North Branch,US,75.07,45.5113,-92.9802,AmericInn by Wyndham North Branch
432,Qui Nhon,VN,78.66,13.7667,109.2333,Hoang Yen Canary Hotel
434,Tutoia,BR,79.05,-2.7619,-42.2744,Pousada Guará's
442,Buala,SB,83.08,-8.145,159.5921,Maringe Lagoon Lodge
445,Ahuimanu,US,84.45,21.4447,-157.8378,Paradise Bay Resort
451,Bagarji,PK,88.07,27.756,68.7524,Bahadur ramejo residency
455,Tual,ID,79.92,-5.6667,132.75,Grand Vilia Hotel
460,Itarema,BR,77.94,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
465,Vila Do Maio,CV,79.59,15.1333,-23.2167,Hotel Marilu
469,Lorengau,PG,83.88,-2.0226,147.2712,Lorengau Harbourside Hotel
471,Pandan,PH,83.95,14.0453,124.1694,Bonifacio Lodge
473,Matara,LK,77.77,5.9485,80.5353,Amaloh Boutique Resort
476,Clarence Town,AU,76.6,-32.5833,151.7833,River Downs Cottage
480,Russell,US,76.12,32.3502,-85.1999,Macs
486,Banda Aceh,ID,78.87,5.5577,95.3222,Sulthan Hotel International
491,Weligama,LK,78.01,5.9667,80.4167,Weligama Bay Resort
494,Waingapu,ID,81.79,-9.6567,120.2641,Pondok Wisata Elim
495,Shenjiamen,CN,81.41,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
497,Katherine,AU,79.12,-14.4667,132.2667,Pine Tree Motel
498,Ixtapa,MX,86.23,20.7,-105.2,Hotel Plaza Providencia
503,Nuevo Progreso,MX,85.59,23.1667,-97.95,Balneario Rio el Paraiso
506,Padang,ID,75.25,-0.9492,100.3543,Mercure Padang
507,Gaoyou,CN,78.71,32.7858,119.4278,如家快捷酒店
512,Puyang,CN,79.2,29.4603,119.8861,Xianhua Sandalwood Celebrity Hotel
514,Vanimo,PG,82.35,-2.6741,141.3028,Vahmoneh Lodge Vanimo
515,Pedernales,DO,82.18,18.0384,-71.744,Hotel Costa Marina
517,Puerto Leguizamo,CO,75.09,-0.1934,-74.7819,la casona de juancho
522,Taketa,JP,76.19,32.9652,131.3785,いっぷく茶屋
524,Houma,US,84.97,29.5958,-90.7195,Courtyard by Marriott Houma
526,Harper,LR,77.47,4.375,-7.7169,Screensaver
528,Ko Samui,TH,81.9,9.5357,99.9357,The Passage
532,Atambua,ID,80.74,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
534,San Juan Evangelista,MX,76.3,17.9,-95.1333,Salon INAPAM San Juan Evangelista
540,Prachuap Khiri Khan,TH,75.51,12.2167,99.75,ผกากรองรีสอร์ท
544,Nong Khai,TH,77.18,17.9167,103.0833,จารุวรรณ วงชัยยา
549,Katiola,CI,75.83,8.1333,-5.1,Auberge Residence Yebin
550,Makakilo City,US,83.28,21.3469,-158.0858,Marriott's Ko Olina Beach Club
551,Luoyang,CN,75.65,34.6836,112.4536,易家国际青年旅舍
554,Aswan,EG,88.9,24.0934,32.907,Nuba Nile
